Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://admissions.sa.ucsb.edu/images/default-source/rotatingbannerimages/campus-aerial.png?sfvrsn=6a4120cc_2-kSYee2KlM0ftWOjjZXi3V8mT6tHIA&sa=X&ved=2ahUKEwi9wdnXldrpAhXSrJ4KHZbWDx4Q9QEwAHoECAoQHA#imgrc=CSrYr9biM2A1BM
The Great Wall of China ,A very Famous place in China which has a long history ,40.431908,116.570374,https://en.wikipedia.org/wiki/Great_Wall_of_China,https://www.google.com/maps/uv?hl=en&pb=!1s0x35f121d7687f2ccf%3A0xd040259b950522df!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMA6bisHkRHM0jUnExk08TsU30J_U0KL_IK_6fT%3Dw240-h160-k-no!5sthe%20great%20wall%20of%20china%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipMA6bisHkRHM0jUnExk08TsU30J_U0KL_IK_6fT&sa=X&ved=2ahUKEwihoMziudrpAhWQCTQIHVOzCpQQoiowHXoECBkQBg#
Dunhuang Mogao Grottoes,A very Famous place in China which has a long history ,40.142132,94.66188,https://en.wikipedia.org/wiki/Mogao_Caves,https://news.artnet.com/app/news-upload/2014/09/grottoes-conservation-china-getty.jpg
Forbidden City,A a palace Musuem in China,39.9088,116.3877,https://en.wikipedia.org/wiki/Forbidden_City,https://images.chinahighlights.com/allpicture/2018/04/ce2d523acf6d46dfb5e265ff.jpg
Qin Huang Mausoleum,A mausoleum of a famous emperor in China with thousands of soldiers ,34.3755,109.2522,https://en.wikipedia.org/wiki/Mausoleum_of_the_First_Qin_Emperor,https://qph.fs.quoracdn.net/main-qimg-a76c678709b69b0f70ed97cbd7cceecb
